roundNumber,half,attackingTeamId,team1Load,team2Load,winningTeamId,,
1,0,1,3600,3800,1,,
2,0,1,900,15750,1,,
3,0,1,21050,18150,0,,
4,0,1,23050,20750,1,,
5,0,1,7800,22850,0,,
6,0,1,20950,19350,0,,
7,0,1,23050,10000,0,,
8,0,1,23250,22250,1,,
9,0,1,25050,20150,1,,
10,0,1,24450,24650,1,,
11,0,1,22050,24650,0,,
12,0,1,24450,19400,0,,
13,1,0,3650,3700,0,,
14,1,0,15650,650,0,,
15,1,0,15650,21850,0,,
16,1,0,23050,6950,0,,
17,1,0,23250,18850,0,,
18,1,0,23250,19700,1,,
19,1,0,23250,23550,0,,
20,1,0,23250,15450,0,,
1,0,1,3800,3700,0,,
2,0,1,15650,11150,0,,
3,0,1,18300,4800,0,,
4,0,1,22950,23900,0,,
5,0,1,25400,11200,0,,
6,0,1,25600,18850,0,,
7,0,1,26050,19900,1,,
8,0,1,20600,24000,1,,
9,0,1,24600,23600,1,,
10,0,1,22900,23800,0,,
11,0,1,24200,19100,0,,
12,0,1,23200,24100,1,,
13,1,0,3850,3350,1,,
14,1,0,1900,15650,0,,
15,1,0,22800,1450,0,,
16,1,0,23000,22150,0,,
17,1,0,23000,6550,0,,
18,1,0,20600,23500,0,,
1,0,0,3450,3750,1,,
2,0,0,1150,18400,1,,
3,0,0,22100,19050,0,,
4,0,0,20200,24050,1,,
5,0,0,6350,21400,1,,
6,0,0,21950,25050,1,,
7,0,0,11900,25050,0,,
8,0,0,24450,23950,0,,
9,0,0,25750,10600,0,,
10,0,0,25950,23450,1,,
11,0,0,25050,23450,0,,
12,0,0,26050,23450,1,,
13,1,1,3450,3900,0,,
14,1,1,15250,2350,0,,
15,1,1,16950,21800,1,,
16,1,1,20900,21700,0,,
17,1,1,20350,6650,1,,
18,1,1,10250,25050,0,,
19,1,1,23650,22800,0,,
20,1,1,22550,12750,0,,
21,1,1,24150,24200,0,,
22,1,1,23350,17100,0,,
1,0,1,3450,3250,1,,
2,0,1,11300,16350,0,,
3,0,1,15800,2850,0,,
4,0,1,21800,19100,0,,
5,0,1,24150,10050,0,,
6,0,1,26550,24300,1,,
7,0,1,20400,23050,0,,
8,0,1,24950,4600,0,,
9,0,1,26550,19400,1,,
10,0,1,24950,22300,1,,
11,0,1,21900,24700,1,,
12,0,1,17550,25400,0,,
13,1,0,3600,3700,0,,
14,1,0,14250,12750,0,,
15,1,0,19450,5250,0,,
16,1,0,16650,23500,0,,
17,1,0,24250,17400,0,,
18,1,0,26050,16050,1,,
19,1,0,24200,21950,1,,
20,1,0,23300,23350,1,,
21,1,0,14600,24950,1,,
22,1,0,22950,25750,1,,
23,1,0,13100,24950,1,,
24,1,0,19050,23150,0,,
1,0,1,3350,3700,1,,
2,0,1,3750,15600,1,,
3,0,1,20100,21250,0,,
4,0,1,20800,6400,0,,
5,0,1,22750,22550,0,,
6,0,1,20700,11500,1,,
7,0,1,24950,25100,1,,
8,0,1,13050,23050,0,,
9,0,1,26550,22150,1,,
10,0,1,24700,23050,0,,
11,0,1,24950,22850,1,,
12,0,1,17150,23250,0,,
13,1,0,3300,3400,1,,
14,1,0,3750,14750,0,,
15,1,0,23150,3500,0,,
16,1,0,23150,22550,1,,
17,1,0,20250,22700,0,,
18,1,0,23300,8000,0,,
19,1,0,23100,22450,0,,
20,1,0,23150,13150,0,,
21,1,0,23150,21200,0,,
1,0,0,3100,3950,1,,
2,0,0,4450,16650,1,,
3,0,0,20200,17150,0,,
4,0,0,22800,23650,0,,
5,0,0,20100,7700,0,,
6,0,0,23000,24350,1,,
7,0,0,21500,19850,1,,
8,0,0,8450,24400,0,,
9,0,0,24400,6550,0,,
10,0,0,24400,24700,1,,
11,0,0,22300,24900,1,,
12,0,0,19000,23300,1,,
13,1,1,3550,3850,0,,
14,1,1,17750,3000,0,,
15,1,1,17150,21450,1,,
16,1,1,18300,20000,1,,
17,1,1,10200,23300,1,,
18,1,1,22550,23200,0,,
19,1,1,21600,16600,0,,
20,1,1,24400,18100,0,,
21,1,1,24750,13300,1,,
22,1,1,20200,24000,0,,
23,1,1,24750,16400,0,,
24,1,1,25000,20700,0,,
1,0,0,3600,3400,1,,
2,0,0,3400,15800,1,,
3,0,0,20800,18550,0,,
4,0,0,21450,19750,0,,
5,0,0,22400,8950,0,,
6,0,0,22850,21350,1,,
7,0,0,22700,22500,1,,
8,0,0,23200,24550,0,,
9,0,0,23000,22500,1,,
10,0,0,21700,24450,0,,
11,0,0,23000,16950,1,,
12,0,0,22500,18950,0,,
13,1,1,3500,3750,1,,
14,1,1,3150,16650,1,,
15,1,1,20750,19650,0,,
16,1,1,21800,20050,0,,
17,1,1,23000,10200,0,,
18,1,1,26400,22950,0,,
19,1,1,26250,10900,0,,
20,1,1,27400,22200,1,,
21,1,1,25750,18500,1,,
22,1,1,24950,24450,0,,
23,1,1,25150,15850,0,,
1,0,1,3600,3650,0,,
2,0,1,15150,4050,0,,
3,0,1,18350,18250,1,,
4,0,1,19950,18200,1,,
5,0,1,7950,19750,1,,
6,0,1,22400,21850,0,,
7,0,1,21700,24150,1,,
8,0,1,7150,22350,1,,
9,0,1,22350,20250,1,,
10,0,1,7850,21850,1,,
11,0,1,23950,25600,1,,
12,0,1,16750,26200,1,,
13,1,0,3600,3200,1,,
14,1,0,5900,15850,1,,
15,1,0,21500,19500,0,,
16,1,0,23000,9700,0,,
17,1,0,23700,20300,0,,
18,1,0,23800,17550,0,,
19,1,0,23700,9250,0,,
20,1,0,23600,23800,1,,
21,1,0,23000,24100,0,,
22,1,0,23000,20900,0,,
23,1,0,23800,12550,1,,
1,0,1,3300,2800,0,,
2,0,1,17100,11900,0,,
3,0,1,18100,5150,0,,
4,0,1,19700,22600,1,,
5,0,1,24100,22600,1,,
6,0,1,16600,22750,0,,
7,0,1,24500,18500,1,,
8,0,1,24500,22750,1,,
9,0,1,9750,25150,1,,
10,0,1,22850,25150,1,,
11,0,1,11900,25150,1,,
12,0,1,23250,23250,0,,
13,1,0,3400,3650,0,,
14,1,0,15300,1450,0,,
15,1,0,19000,21350,0,,
16,1,0,21600,9900,1,,
17,1,0,8400,24000,1,,
18,1,0,22450,27700,1,,
19,1,0,11350,27100,0,,
20,1,0,26400,25450,0,,
21,1,0,23000,19350,0,,
22,1,0,22900,19450,1,,
23,1,0,20600,21300,0,,
24,1,0,21300,15350,0,,
1,0,1,3200,4050,1,,
2,0,1,1150,18150,1,,
3,0,1,20900,15050,1,,
4,0,1,9600,23200,1,,
5,0,1,23300,25450,0,,
6,0,1,23600,25000,0,,
7,0,1,24600,18300,0,,
8,0,1,24900,7500,1,,
9,0,1,24900,27750,1,,
10,0,1,9900,24800,1,,
11,0,1,22050,24600,0,,
12,0,1,20450,23200,0,,
13,1,0,3650,4100,1,,
14,1,0,11750,17800,0,,
15,1,0,16350,2250,0,,
16,1,0,22500,22500,0,,
17,1,0,22300,6050,0,,
18,1,0,22250,24000,1,,
19,1,0,22950,24000,1,,
20,1,0,20500,23600,0,,
21,1,0,19750,10400,0,,
22,1,0,23700,22550,0,,
23,1,0,22450,17700,0,,
1,0,1,3650,3800,0,,
2,0,1,16050,12100,0,,
3,0,1,17950,5700,0,,
4,0,1,20850,22400,1,,
5,0,1,24450,22950,1,,
6,0,1,19300,22950,1,,
7,0,1,11400,22950,1,,
8,0,1,25200,22950,0,,
9,0,1,24150,22950,0,,
10,0,1,25200,24750,1,,
11,0,1,23050,24750,0,,
12,0,1,23650,19900,1,,
13,1,0,3700,3700,1,,
14,1,0,2150,17150,1,,
15,1,0,21000,14450,0,,
16,1,0,19950,19850,0,,
17,1,0,23000,9500,1,,
18,1,0,24650,25650,0,,
19,1,0,24900,24650,0,,
20,1,0,25200,18750,1,,
21,1,0,23250,23450,0,,
22,1,0,19750,7950,1,,
23,1,0,19350,23650,1,,
24,1,0,17450,27250,1,,
1,0,1,3400,3700,0,,
2,0,1,3100,17600,0,,
3,0,1,19600,19050,0,,
4,0,1,21300,22300,0,,
5,0,1,23550,18800,0,,
6,0,1,19600,12100,0,,
7,0,1,21400,22700,1,,
8,0,1,6050,20850,0,,
9,0,1,23250,23700,0,,
10,0,1,23300,20000,1,,
11,0,1,6900,22750,1,,
12,0,1,21900,23700,0,,
13,1,0,3500,3700,1,,
14,1,0,16900,2350,1,,
15,1,0,16200,20000,0,,
16,1,0,22500,17250,0,,
17,1,0,11950,19500,0,,
18,1,0,23100,19650,1,,
19,1,0,23100,3600,1,,
20,1,0,23100,23150,1,,
21,1,0,23100,8450,1,,
22,1,0,25100,25900,1,,
23,1,0,19600,26950,1,,
24,1,0,18500,26250,0,,
1,0,1,3650,3650,1,,
2,0,1,5250,16650,1,,
3,0,1,21700,16700,0,,
4,0,1,22400,6000,0,,
5,0,1,23000,22400,1,,
6,0,1,22800,8500,1,,
7,0,1,22400,24200,1,,
8,0,1,23000,12400,0,,
9,0,1,23000,22150,0,,
10,0,1,22000,24000,0,,
11,0,1,12600,24200,0,,
12,0,1,22550,25000,0,,
13,1,0,3150,3700,1,,
14,1,0,17550,4250,1,,
15,1,0,16500,19300,0,,
16,1,0,21100,22150,1,,
17,1,0,19250,22700,1,,
18,1,0,20400,10200,1,,
19,1,0,22650,21200,0,,
20,1,0,22800,20850,0,,
21,1,0,22800,19100,0,,
22,1,0,19550,19100,0,,
23,1,0,7500,22200,0,,
1,0,0,3800,3400,0,,
2,0,0,16950,1900,0,,
3,0,0,15800,21200,1,,
4,0,0,23400,21350,1,,
5,0,0,19300,22900,1,,
6,0,0,14300,24700,1,,
7,0,0,24500,24700,1,,
8,0,0,11650,25050,1,,
9,0,0,23200,25500,0,,
10,0,0,23200,25050,1,,
11,0,0,11250,25050,1,,
12,0,0,22400,25550,1,,
13,1,1,4000,3800,0,,
14,1,1,16000,11050,0,,
15,1,1,18000,7000,0,,
16,1,1,19800,23000,0,,
17,1,1,21600,8450,0,,
18,1,1,27300,22900,1,,
19,1,1,23700,22400,0,,
20,1,1,23700,10000,0,,
21,1,1,21300,22400,0,,
22,1,1,23900,19100,0,,
23,1,1,25500,18700,1,,
24,1,1,24100,20800,1,,
1,0,1,3400,3700,1,,
2,0,1,3100,17600,1,,
3,0,1,19600,19050,0,,
4,0,1,21300,22300,0,,
5,0,1,23550,18800,0,,
6,0,1,19600,12100,0,,
7,0,1,21400,22700,1,,
8,0,1,6050,20850,1,,
9,0,1,23250,23700,0,,
10,0,1,23300,20000,1,,
11,0,1,6900,22750,1,,
12,0,1,21900,23700,0,,
13,1,0,3500,3700,0,,
14,1,0,16900,2350,0,,
15,1,0,16200,20000,1,,
16,1,0,22500,17250,1,,
17,1,0,11950,19500,1,,
18,1,0,23100,19650,0,,
19,1,0,23100,3600,0,,
20,1,0,23100,23150,0,,
21,1,0,23100,8450,1,,
22,1,0,25100,25900,1,,
23,1,0,19600,26950,1,,
24,1,0,18500,26250,0,,
1,0,0,3650,3650,1,,
2,0,0,5250,16650,1,,
3,0,0,21700,16700,0,,
4,0,0,22400,6000,0,,
5,0,0,23000,22400,0,,
6,0,0,22800,8500,1,,
7,0,0,22400,24200,0,,
8,0,0,23000,12400,0,,
9,0,0,23000,22150,1,,
10,0,0,22000,24000,1,,
11,0,0,12600,24200,1,,
12,0,0,22550,25000,1,,
13,1,1,3150,3700,0,,
14,1,1,17550,4250,0,,
15,1,1,16500,19300,1,,
16,1,1,21100,22150,0,,
17,1,1,19250,22700,0,,
18,1,1,20400,10200,0,,
19,1,1,22650,21200,0,,
20,1,1,22800,20850,0,,
21,1,1,22800,19100,1,,
22,1,1,19550,19100,1,,
1,0,0,3600,3700,1,,
2,0,0,4100,16900,1,,
3,0,0,19350,18100,0,,
4,0,0,22350,23750,0,,
5,0,0,24850,16750,0,,
6,0,0,26450,22100,1,,
7,0,0,25850,19300,0,,
8,0,0,25850,7550,0,,
9,0,0,25650,23500,0,,
10,0,0,25650,8750,0,,
11,0,0,27100,23450,1,,
12,0,0,26600,23600,0,,
13,1,1,3400,3700,1,,
14,1,1,3950,17500,0,,
15,1,1,23350,8050,0,,
16,1,1,21100,21000,1,,
17,1,1,4750,19950,0,,
18,1,1,24350,7850,0,,
1,0,0,3600,3900,1,,
2,0,0,1400,16250,1,,
3,0,0,22050,12950,0,,
4,0,0,22800,24500,0,,
5,0,0,22150,15850,0,,
6,0,0,23150,24600,1,,
7,0,0,24150,24400,0,,
8,0,0,24350,6850,0,,
9,0,0,24150,22800,0,,
10,0,0,24300,14050,0,,
11,0,0,24300,21700,0,,
12,0,0,22650,18600,0,,
13,1,1,3700,3900,1,,
14,1,1,1200,16900,1,,
15,1,1,20650,16300,1,,
16,1,1,10050,24500,1,,
17,1,1,24500,23200,0,,
18,1,1,24500,23200,1,,
19,1,1,18850,23200,0,,
20,1,1,22850,9000,0,,
21,1,1,25100,22600,1,,
22,1,1,20950,21400,1,,
23,1,1,11200,19700,1,,
24,1,1,22950,25100,0,,
1,0,1,3700,3750,0,,
2,0,1,17950,10400,0,,
3,0,1,17300,6150,0,,
4,0,1,21700,22450,1,,
5,0,1,23000,22200,0,,
6,0,1,23600,15500,0,,
7,0,1,24350,7100,0,,
8,0,1,25450,22000,1,,
9,0,1,24600,20000,0,,
10,0,1,24200,4350,0,,
11,0,1,25250,21600,1,,
12,0,1,26200,22900,0,,
13,1,0,3750,3650,1,,
14,1,0,5300,14550,0,,
15,1,0,19850,6000,0,,
16,1,0,23750,19150,0,,
17,1,0,21450,16200,0,,
1,0,0,3700,3200,0,,
2,0,0,17500,1200,0,,
3,0,0,20000,20900,0,,
4,0,0,24000,5800,1,,
5,0,0,23000,23700,1,,
6,0,0,10500,24000,1,,
7,0,0,22800,24650,0,,
8,0,0,22400,23850,1,,
9,0,0,6400,23850,1,,
10,0,0,20550,25250,1,,
11,0,0,9300,25750,1,,
12,0,0,22900,30000,1,,
13,1,1,3750,3650,1,,
14,1,1,1850,17600,1,,
15,1,1,20850,19050,0,,
16,1,1,19900,19500,0,,
17,1,1,20500,9750,1,,
18,1,1,22200,21350,0,,
19,1,1,22400,20150,0,,
20,1,1,22400,9400,1,,
21,1,1,22400,24050,1,,
1,0,1,3700,3500,1,,
2,0,1,2350,15300,1,,
3,0,1,21000,18200,1,,
4,0,1,8100,23400,1,,
5,0,1,20150,25500,1,,
6,0,1,13850,25500,1,,
7,0,1,21800,25050,0,,
8,0,1,23150,20500,0,,
9,0,1,25050,25050,1,,
10,0,1,22050,25050,1,,
11,0,1,10800,25050,1,,
12,0,1,22250,25850,1,,
13,1,0,3650,3700,0,,
14,1,0,16850,1200,0,,
15,1,0,20300,21000,0,,
16,1,0,20350,9900,1,,
17,1,0,17600,23500,1,,
18,1,0,16150,23400,1,,
